Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK,
AIZ,Assurant Inc,reports,Financials,Multi-line Insurance,New York, New York,2007-04-10,0001267238,/wiki/Assurant_Inc
T,AT&T Inc,reports,Telecommunications Services,Integrated Telecommunications Services,Dallas, Texas,1983-11-30,0000732717,/wiki/AT%26T_Inc
ADSK,Autodesk Inc,reports,Information Technology,Application Software,San Rafael, California,1989-12-01,0000769397,/wiki/Autodesk_Inc
ADP,Automatic Data Processing,reports,Information Technology,Internet Software & Services,Roseland, New Jersey,1981-03-31,0000008670,/wiki/Automatic_Data_Processing
AN,AutoNation Inc,reports,Consumer Discretionary,Specialty Stores,Fort Lauderdale, Florida,,0000350698,/wiki/AutoNation_Inc
AZO,AutoZone Inc,reports,Consumer Discretionary,Specialty Stores,Memphis, Tennessee,,0000866787,/wiki/AutoZone_Inc
AVGO,Avago Technologies,reports,Information Technology,Semiconductors,San Jose, California,2014-05-08,0001441634,/wiki/Avago_Technologies
AVB,AvalonBay Communities, Inc.,reports,Financials,Residential REITs,Arlington, Virginia[3],2007-01-10,0000915912,/wiki/AvalonBay_Communities,_Inc.
AVY,Avery Dennison Corp,reports,Materials,Paper Packaging,Glendale, California,1987-12-31,0000008818,/wiki/Avery_Dennison_Corp
BHI,Baker Hughes Inc,reports,Energy,Oil & Gas Equipment & Services,Houston, Texas,,0000808362,/wiki/Baker_Hughes_Inc
BLL,Ball Corp,reports,Materials,Metal & Glass Containers,Broomfield, Colorado,1984-10-31,0000009389,/wiki/Ball_Corp
BAC,Bank of America Corp,reports,Financials,Banks,Charlotte, North Carolina,1976-06-30,0000070858,/wiki/Bank_of_America_Corp
BK,The Bank of New York Mellon Corp.,reports,Financials,Banks,New York, New York,,0001390777,/wiki/The_Bank_of_New_York_Mellon_Corp.
BCR,Bard (C.R.) Inc.,reports,Health Care,Health Care Equipment & Services,Murray Hill, New Jersey,1975-06-30,0000009892,/wiki/Bard_(C.R.)_Inc.
BXLT,Baxalta,reports,Health Care,Biotechnology,Deerfield, Illinois,2015-07-01,0001620546,/wiki/Baxalta
BAX,Baxter International Inc.,reports,Health Care,Health Care Equipment & Services,Deerfield, Illinois,1972-09-30,0000010456,/wiki/Baxter_International_Inc.
BBT,BB&T Corporation,reports,Financials,Banks,Winston-Salem, North Carolina,,0000092230,/wiki/BB%26T_Corporation
BDX,Becton Dickinson,reports,Health Care,Health Care Equipment & Services,Franklin Lakes, New Jersey,1972-09-30,0000010795,/wiki/Becton_Dickinson
BBBY,Bed Bath & Beyond,reports,Consumer Discretionary,Specialty Stores,Union, New Jersey,,0000886158,/wiki/Bed_Bath_%26_Beyond
BRK-B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,Omaha, Nebraska,2010-02-16,0001067983,/wiki/Berkshire_Hathaway
BBY,Best Buy Co. Inc.,reports,Consumer Discretionary,Computer & Electronics Retail,Richfield, Minnesota,,0000764478,/wiki/Best_Buy_Co._Inc.
